Date,Open,High,Low,Close,Adj Close,Volume
26 February 2021,2338.050049,2360,2260,2277.199951,2277.199951,3933813
01 March 2021,2300,2369.899902,2300,2362.300049,2362.300049,2545806
02 March 2021,2386,2402.550049,2359,2390.399902,2390.399902,2033586
03 March 2021,2406,2417.699951,2375.800049,2402.100098,2402.100098,1591567
04 March 2021,2380,2435,2350,2417.100098,2417.100098,2149984
05 March 2021,2399,2423.899902,2377.100098,2387.100098,2387.100098,1953642
08 March 2021,2383,2413.5,2360.050049,2382.699951,2382.699951,1593838
09 March 2021,2400,2444,2396.149902,2422.699951,2422.699951,1800442
10 March 2021,2446,2446,2415.550049,2431.949951,2431.949951,1056102
12 March 2021,2442.800049,2464.649902,2397,2401.350098,2401.350098,1279203
15 March 2021,2402.550049,2427.550049,2343.050049,2355,2355,1524449
16 March 2021,2379.199951,2480,2375.350098,2468.600098,2468.600098,4230564
17 March 2021,2460,2460,2411.100098,2422.949951,2422.949951,1623187
18 March 2021,2468.850098,2468.850098,2390,2404.550049,2404.550049,1851739
19 March 2021,2393,2434,2355.350098,2411.25,2411.25,3738079
22 March 2021,2390,2438.100098,2390,2425.699951,2425.699951,1489853
23 March 2021,2430,2433.949951,2398.199951,2410.300049,2410.300049,1745466
24 March 2021,2410.300049,2470,2410,2443.550049,2443.550049,4132092
25 March 2021,2450.949951,2469,2392,2402.199951,2402.199951,2272545
26 March 2021,2425,2513.949951,2409.100098,2505.149902,2505.149902,3084607
30 March 2021,2539.100098,2583.449951,2521.5,2578.050049,2578.050049,2332884
31 March 2021,2578.050049,2582.949951,2531,2537.399902,2537.399902,1616044
01 April 2021,2532,2564.550049,2532,2551.75,2551.75,1219588
05 April 2021,2558,2558,2484.5,2510.649902,2510.649902,1268939
06 April 2021,2526,2620,2504.5,2611.600098,2611.600098,3372846
07 April 2021,2605,2668.050049,2600.100098,2628.600098,2628.600098,1937977
08 April 2021,2630,2658.399902,2628,2650.649902,2650.649902,897483
09 April 2021,2635,2655,2610.149902,2630.800049,2630.800049,1185017
